slug,name,definition,category,depth,requires,gate
executing-a-file,Executing a file,what the interpreter actually does when you type python x.py,language,1,,narrates the steps from command to first line run
variable-binding,Variable binding,a name is a label attached to an object not a box holding it,language,1,,predicts aliasing between two names
builtin-types,Built-in types,int float str bool and how type() reports them,language,1,,predicts the type of a mixed expression
type-conversion,Type conversion,turning one type into another explicitly and where it fails,language,1,builtin-types,converts user input to a number safely
string-basics,String basics,indexing slicing concatenation and immutability of str,language,1,builtin-types,reverses a string without a library
f-string,Formatted string literal,inline expression interpolation inside a string,language,1,string-basics,formats a number to two decimals inline
truthiness,Truthiness,which values are falsy and why empty collections count,language,1,builtin-types,predicts the branch for an empty list
none-value,None,the absence of a value and why it is not zero or empty,language,1,,distinguishes a missing key from a key set to None
comparison-operators,Comparison operators,equality ordering and chained comparisons,language,1,builtin-types,writes a bounds check without an and
boolean-operators,Boolean operators,and or not and short-circuit evaluation,language,1,truthiness,uses or to supply a default value
conditional,Conditionals,if elif else and how order decides the branch,language,1,truthiness,writes a three-way branch with no dead arm
while-loop,While loop,repetition governed by a condition and how it fails to end,language,1,conditional,writes a loop that terminates on a sentinel
for-loop,For loop,iterating over the items of a collection,language,1,,sums a list without an index variable
range,range,a lazy sequence of integers and its half-open interval,language,1,for-loop,produces the last ten items of a list by index
list-type,List,an ordered mutable sequence,language,1,,builds a list in a loop
indexing-slicing,Indexing and slicing,positional access negative indexes and the step,language,1,list-type,takes every second element in reverse
dict-type,Dictionary,a mapping from keys to values,language,1,,counts occurrences of items in a list
tuple-type,Tuple,an ordered immutable sequence and why immutability matters,language,1,list-type,returns two values from a function
set-type,Set,an unordered collection of unique hashable items,language,1,list-type,removes duplicates while explaining lost order
function-def,Function definition,naming a reusable block with parameters,language,1,,extracts a repeated block into a function
return-value,Return,handing a value back versus printing it,language,1,function-def,explains why a function that prints is not composable
function-arguments,Arguments,positional and keyword arguments and their order,language,1,function-def,calls a function with keywords out of order
import-statement,Import,bringing names from another module into scope,language,1,,imports one function rather than a whole module
name-main,Module entry point,what __name__ is and why the __main__ guard exists,language,1,"executing-a-file,import-statement",writes a file that is both runnable and importable
len-builtin,len,the length protocol shared by every sized object,language,1,list-type,guards an index against an empty collection
mutable-vs-immutable,Mutable versus immutable,which objects can change in place and what that costs,language,2,"list-type,tuple-type",predicts whether a function mutated its caller argument
default-arguments,Default arguments,parameters with fallback values evaluated once at definition,language,2,function-arguments,explains the mutable default argument trap
var-args,Variable arguments,star args and double star kwargs for open signatures,language,2,function-arguments,writes a wrapper that forwards every argument
scope-legb,Scope,local enclosing global builtin and the order names resolve,language,2,function-def,predicts which binding a nested name sees
global-nonlocal,global and nonlocal,rebinding a name from an inner scope and why it is rare,language,2,scope-legb,rewrites a global counter as a returned value
identity-vs-equality,Identity versus equality,is compares objects and == compares values,language,2,mutable-vs-immutable,explains when two equal lists are not the same list
copy-vs-deepcopy,Shallow versus deep copy,copying a container versus copying what it holds,language,2,mutable-vs-immutable,fixes an aliasing bug in nested data
list-methods,List methods,append extend insert pop remove and their return values,language,2,list-type,explains why append returns None
dict-methods,Dictionary methods,get items keys values setdefault and safe lookup,language,2,dict-type,reads a possibly-missing nested key without an exception
sorting,Sorting,sorted versus sort and the key function,language,2,function-def,sorts records by a field then breaks ties by another
enumerate,enumerate,index and item together without a manual counter,language,2,for-loop,rewrites a counter loop with enumerate
zip-builtin,zip,walking several sequences in step and stopping at the shortest,language,2,for-loop,pairs two lists into a dictionary
unpacking,Unpacking,destructuring sequences into names including the star form,language,2,tuple-type,swaps two variables without a temporary
comprehension,Comprehension,building a list dict or set in a single expression,language,2,for-loop,rewrites a filtering loop as one comprehension
ternary-expression,Conditional expression,a value chosen inline by a condition,language,2,conditional,replaces a four-line if with one assignment
loop-else,break continue and loop else,leaving a loop early and the else that runs when you did not,language,2,while-loop,writes a search loop with a not-found branch
exception-basics,Exceptions,raising and catching errors instead of returning error codes,failure,2,,catches only the exception the call can raise
raise-statement,raise,signalling failure deliberately and re-raising after cleanup,failure,2,exception-basics,converts an invalid argument into a clear exception
finally-cleanup,finally,code that runs whether or not the block failed,failure,2,exception-basics,releases a resource on both paths
custom-exception,Custom exception,a named error type callers can catch specifically,failure,2,raise-statement,defines an error its caller can distinguish
bare-except-trap,Over-broad except,why catching everything hides the bug you needed,failure,2,exception-basics,names what a bare except swallowed
context-manager,Context manager,the with statement and guaranteed release,pattern,2,finally-cleanup,opens a file that closes on an exception
file-io,File input and output,reading and writing text with encodings,stdlib,2,context-manager,writes then reads a file without corrupting non-ascii
pathlib,pathlib,paths as objects instead of strings,stdlib,2,file-io,builds a cross-platform path and creates its parent
json-module,json,serialising and parsing JSON and what types survive,stdlib,2,dict-type,round-trips nested data and names what changed
iteration-protocol,Iteration protocol,what for actually calls under the hood,language,3,for-loop,explains why a file object can only be read once
iterator,Iterator,a stateful cursor that yields items once,language,3,iteration-protocol,writes an iterator by hand
generator,Generator,a function that produces values lazily with yield,language,3,iterator,converts a list-building function into a generator
yield-keyword,yield,suspending a function and resuming it where it stopped,language,3,generator,traces execution order across two yields
lazy-evaluation,Lazy evaluation,computing only what is consumed and why memory drops,pattern,3,generator,processes a file too large to fit in memory
generator-pipeline,Generator pipeline,chained generators each doing one transformation,pattern,3,"generator,lazy-evaluation",builds a three-stage pipeline with no intermediate list
