slug,name,definition,category,depth,file,line,snippet,requires,gate
function-def,Function definition,"a named, reusable block with parameters and a return value",language,1,soufiane_prompts/prompts/run_prompts.py,44,def load_dotenv():,,"writes a function with a parameter and a return, and calls it"
return-value,Return value,"what a call evaluates to, and that a function without return gives None",language,1,soufiane_prompts/prompts/run_prompts.py,466,"return LEDGER_DIR / f""ledger_{slug}.json""",function-def,predicts what a call with no return statement evaluates to
keyword-arguments,Keyword arguments,passing arguments by name instead of by position,language,1,soufiane_prompts/prompts/run_prompts.py,560,"client.batches.create(input_file_id=up.id, endpoint=""/v1/chat/completions"")",function-def,calls the same function positionally and by keyword
fstring,f-string,string literal that interpolates expressions inline,language,1,soufiane_prompts/prompts/run_prompts.py,523,"custom_id = f""{slug}__{i}""",,builds a filename from two variables without concatenation
string-methods,String methods,strip / split / replace / startswith and that they return new strings,language,1,soufiane_prompts/prompts/run_prompts.py,52,"key, value = line.split('=', 1)",,"parses KEY=VALUE out of a line, keeping a value that contains ="
list-basics,List basics,"ordered mutable sequence: append, len, indexing",language,1,soufiane_prompts/prompts/run_prompts.py,714,requests.append(req),,accumulates results in a list inside a loop
dict-basics,Dictionary basics,"key to value mapping: set, read, membership",language,1,soufiane_prompts/prompts/run_prompts.py,524,sidecar[custom_id] = record,,stores and retrieves a record by a string key
dict-get-default,dict.get with default,reading a key that may be absent without raising KeyError,language,1,soufiane_prompts/prompts/run_prompts.py,519,prompt = record.get('prompt'),dict-basics,reads an optional field and handles it being missing
dict-iteration,Iterating a dict,"looping over keys, values or items",language,1,soufiane_prompts/prompts/run_prompts.py,641,"for k, v in record.items():",dict-basics,rebuilds a dict with one key renamed
for-loop,for loop,iterating over a sequence,language,1,soufiane_prompts/prompts/run_prompts.py,510,for rel in files:,,loops over a list and does something per element
while-loop,while loop,looping until a condition stops being true,language,1,soufiane_prompts/prompts/run_prompts.py,361,while yielded < limit:,,loops until a counter reaches a target
break-continue,break and continue,leaving a loop early vs skipping one iteration,language,1,soufiane_prompts/prompts/run_prompts.py,520,if not prompt: continue,for-loop,skips bad records and stops on a limit in the same loop
range,range,producing an integer sequence for counted loops,language,1,soufiane_prompts/prompts/run_prompts.py,107,"for i in range(1, 6):",for-loop,loops 1..5 and builds question_1..question_5
enumerate,enumerate,looping with the index alongside the element,language,1,soufiane_prompts/prompts/run_prompts.py,518,"for i, record in enumerate(stream_records(path, limit)):",for-loop,"numbers records while iterating, without a manual counter"
slicing,Sequence slicing,taking a sub-range of a string or list with [a:b],language,1,soufiane_prompts/prompts/run_prompts.py,245,"return {'E': clean[:5], 'F': clean[5:]}",list-basics,splits a 10-element list into two halves
truthiness,Truthiness,"which values are falsy, and that ""if x"" is not ""if x is not None""",language,1,soufiane_prompts/prompts/run_prompts.py,520,if not prompt:,,"says what an empty string, empty list, 0 and None each do in an if"
augmented-assignment,Augmented assignment,+= and friends as read-modify-write,language,1,soufiane_prompts/prompts/run_prompts.py,399,yielded += 1,,counts occurrences with a running total
context-manager,with statement,"a block that guarantees cleanup, used here for files",language,1,soufiane_prompts/prompts/run_prompts.py,360,"with open(path, 'r', encoding='utf-8') as f:",,"opens a file, writes to it, and cannot leak the handle"
try-except,try / except,catching an exception instead of crashing,language,1,soufiane_prompts/prompts/run_prompts.py,387,"try: obj, idx = decoder.raw_decode(buf)",,handles a parse failure without stopping the program
name-main,"__name__ == ""__main__""",the guard that separates script execution from import,language,1,soufiane_prompts/prompts/run_prompts.py,1276,if __name__ == '__main__':,,explains why run_translation can import run_prompts without running it
none-checks,"None and ""is None""",the null object and identity comparison against it,language,1,soufiane_prompts/prompts/run_prompts.py,224,if any(v is None for v in out['E'] + out['F']):,truthiness,distinguishes a missing value from an empty one
module-import,import,loading another module and using its names,language,1,soufiane_prompts/prompts/check_quality.py,14,import run_prompts as rp,,reuses a function from another file of his own
default-argument,Default parameter value,a parameter with a fallback the caller may omit,language,2,soufiane_prompts/prompts/run_prompts.py,793,"def find_batch_by_run_name(client, run_name, scan=500):",function-def,writes a function usable with and without an optional argument
tuple-unpacking,Tuple unpacking,returning and receiving several values at once,language,2,soufiane_prompts/prompts/run_prompts.py,718,"return requests, sidecar, offset_after, n_read, nbytes, ntokens",return-value,returns three values and binds them in one line
